State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Alabama,4830620,2341093,2489527,3.7516156462584975,61.878656462585,31.25297619047618,0.4532312925170065,1.0502551020408146,0.03435374149659865,43296.35860306644,22840.097021276597,21.282127659574495,30.291914893617008,18.286638297872347,23.81276595744678,10.229361702127656,17.38051063829787,1712.3835732430143,78.27446808510639,16.264085106382982,5.260085106382973,0.20059574468085098,10.686723404255321
Alaska,733375,384160,349215,5.909580838323351,60.910179640718574,2.8485029940119775,16.39101796407186,5.450299401197604,1.0586826347305378,70354.74390243902,33003.22891566265,11.338922155688616,34.91325301204819,17.95421686746988,21.990963855421683,13.470481927710843,11.663253012048195,2102.443113772455,65.08072289156628,27.58614457831325,7.121686746987949,0.20963855421686753,9.26807228915662
Arizona,6641928,3299088,3342840,29.565921052631502,57.120000000000026,3.8509868421052658,4.35506578947368,2.876578947368419,0.16763157894736833,54207.82095490716,26363.113890717577,18.631860158311387,33.81148514851486,20.442442244224427,26.056831683168298,9.813069306930664,9.87709570957094,1843.6474442988203,78.24475247524752,15.364818481848195,6.225148514851484,0.16594059405940603,9.469900990099008
Arkansas,2958208,1451913,1506295,6.215474452554738,71.13781021897813,18.968759124087573,0.5229197080291965,1.1423357664233578,0.14686131386861315,41935.63396778917,22126.81605839416,20.575766423357678,29.94321167883209,17.985693430656948,23.384087591240863,11.154890510948915,17.53124087591241,1831.021865889213,76.17620437956202,17.080729927007294,6.535620437956201,0.20642335766423353,8.529489051094899
California,38421464,19087135,19334329,37.291874687968054,40.21578881677474,5.677396405391911,0.40529206190713685,13.052234148776776,0.35141038442336353,67264.78230266465,31154.595603846636,16.550419431576266,36.164613844035536,19.19217674302162,23.656127174865365,9.582901489548135,11.403417198648114,2140.5436266600473,77.24590061334347,13.978921016397482,8.592965327325052,0.18287645512579762,10.191290201476663
Colorado,5278906,2648667,2630239,20.78438003220608,69.89557165861504,3.546376811594201,0.5738325281803548,2.661996779388082,0.11964573268921083,64657.801787164906,32248.10628019324,13.268259109311735,39.3539644012945,18.006553398058223,23.65954692556636,9.8675566343042,9.109789644012935,2101.2297838270615,78.64352750809061,14.408333333333315,6.760922330097089,0.18923948220064726,7.194093851132681
Connecticut,3593222,1751607,1841615,15.604830917874388,67.6770531400966,10.34806763285027,0.12620772946859898,4.021980676328502,0.018599033816425123,76146.5605875153,38528.9154589372,11.755743651753335,40.7048367593712,18.418863361547753,23.49854897218864,7.2870616686819805,10.088512696493341,2138.5558223289318,80.54836759371236,12.997097944377272,6.276299879081024,0.18065296251511498,9.382103990326488
Delaware,926454,448413,478041,8.82476635514019,64.63271028037383,20.743925233644834,0.25981308411214965,3.2686915887850483,0.0191588785046729,61827.97663551402,31446.654205607476,12.82990654205608,37.67009345794391,19.225700934579432,24.312149532710283,8.321028037383181,10.47803738317757,1989.9816513761468,81.12289719626172,14.500000000000012,4.237383177570092,0.1373831775700935,7.952336448598127
District of Columbia,647484,306674,340810,9.165921787709499,33.103910614525134,51.77653631284915,0.20055865921787713,3.3832402234636865,0.029608938547486034,75466.36363636363,46214.96648044693,19.304469273743013,55.14525139664799,17.89664804469273,19.022905027932964,3.2340782122905027,4.708379888268156,1887.2346368715084,69.90167597765365,25.828491620111727,4.159217877094974,0.10949720670391064,11.624581005586593
Florida,19645772,9600009,10045763,21.3385426653884,59.08374880153398,15.165675934803444,0.2104506232023015,2.2831735378715257,0.05151006711409391,50690.194986743794,28149.090734517522,17.188406144983173,33.54603936629858,20.79572731637061,27.157345175228052,9.296615458473381,9.204560729716754,2012.0826855123676,80.92640422467598,12.57887662025924,6.328852616418626,0.16764282285165605,10.021406287496992
